Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
0,1,1,0,20,0,0,0,0,Dropout
0,0,1,0,19,6,14,6,13.66666667,Graduate
0,0,1,0,19,0,0,0,0,Dropout
0,1,0,0,20,6,13.42857143,5,12.4,Graduate
0,1,0,0,45,5,12.33333333,6,13,Graduate
1,1,1,0,50,5,11.85714286,5,11.5,Graduate
0,1,0,1,18,7,13.3,8,14.345,Graduate
0,0,1,0,22,0,0,0,0,Dropout
0,1,0,1,21,6,13.875,6,14.14285714,Graduate
1,0,0,0,18,5,11.4,2,13.5,Dropout
0,1,0,0,18,6,12.33333333,5,14.2,Graduate
0,1,0,1,18,7,13.21428571,7,13.21428571,Graduate
0,1,0,0,19,0,0,0,0,Dropout
0,1,0,1,21,6,10.57142857,5,11,Graduate
0,1,0,1,18,4,13.25,5,12,Graduate
0,1,0,0,20,5,13.2,0,0,Dropout
0,1,0,0,18,1,12,2,11,Enrolled
0,1,0,0,18,7,13.30625,8,14.545,Graduate
0,1,0,0,20,4,12.5,4,12.25,Graduate
0,1,0,0,18,6,11.66666667,6,13.5,Enrolled
0,1,0,1,21,0,0,0,0,Graduate
0,1,0,0,20,7,11.4375,8,11.425,Enrolled
0,1,0,0,18,7,12.85714286,7,12.85714286,Graduate
0,1,0,1,19,6,13.375,6,12.28571429,Graduate
0,1,0,0,19,6,13.29666667,7,14.11428571,Graduate
1,1,0,1,18,5,11.6,4,11,Enrolled
0,1,0,0,21,6,11.375,6,13.28571429,Graduate
0,1,0,0,18,5,12.66666667,4,13,Enrolled
0,1,0,0,20,5,12,5,12.33333333,Graduate
0,1,1,0,19,6,12.93333333,6,13.71666667,Enrolled
0,1,1,0,21,5,11.85714286,5,10.57142857,Enrolled
0,1,1,0,20,6,12.83333333,4,13.4,Graduate
0,0,1,0,18,3,11.33333333,2,13.5,Enrolled
0,1,0,0,19,6,12.66666667,6,14.375,Graduate
0,1,1,0,34,5,12.4,5,13.42857143,Graduate
1,0,1,0,37,0,0,1,10,Dropout
0,1,1,0,43,0,0,0,0,Dropout
0,1,0,0,55,1,10,2,12,Dropout
0,1,0,0,39,5,11,5,11.6,Graduate
1,0,0,0,20,3,11.66666667,3,12,Dropout
1,1,0,0,18,4,12.75,0,0,Dropout
0,1,0,0,22,5,14.8,5,15.8,Graduate
0,1,0,0,22,5,13.928,7,14.34285714,Graduate
0,0,0,0,20,4,13,5,13.8,Dropout
0,1,0,0,29,0,0,0,0,Dropout
0,1,0,0,24,2,11.5,3,14.33333333,Enrolled
0,1,0,0,18,6,11.66666667,5,13.2,Graduate
0,1,0,1,22,6,13.51666667,7,13.77142857,Graduate
0,1,0,1,21,6,11.5,6,13.28571429,Graduate
0,1,0,1,19,5,12.33333333,6,12.83333333,Graduate
0,1,0,1,24,6,13.66666667,6,14.16666667,Graduate
0,1,0,1,19,6,11.83333333,6,11.83333333,Enrolled
0,1,0,1,20,4,14,3,11,Enrolled
0,1,0,0,19,5,14.71428571,5,15.8,Graduate
0,1,0,0,27,5,10.6,5,11,Dropout
0,1,0,0,18,7,13.04444444,8,13.595,Graduate
0,1,0,0,39,0,0,0,0,Dropout
0,1,0,0,27,5,13,10,12.9,Dropout
0,1,0,0,18,8,14.935,8,14.935,Graduate
0,1,0,0,18,0,0,0,0,Enrolled
0,1,0,0,18,6,13.13333333,7,12.22142857,Graduate
0,1,0,1,21,6,12,6,12,Graduate
0,1,1,1,19,0,0,0,0,Enrolled
0,1,1,0,19,5,11.4,1,10,Enrolled
0,1,1,0,24,0,0,0,0,Enrolled
0,1,1,0,29,5,11.9,5,11,Dropout
0,1,1,1,19,0,0,0,0,Graduate
0,1,1,0,23,6,12.57142857,6,12.42857143,Graduate
1,1,1,0,19,5,11.2,4,10.75,Dropout
0,1,1,0,26,6,12,5,10.8,Enrolled
0,1,1,0,18,0,0,0,0,Enrolled
0,1,1,0,24,7,11.975,8,13.75,Graduate
0,1,1,0,19,0,0,0,0,Dropout
0,1,1,0,18,3,11.66666667,1,12,Dropout
0,1,1,0,18,6,12.33333333,3,12.33333333,Graduate
1,1,1,0,18,3,10.33333333,3,10.85714286,Dropout
0,1,1,1,21,4,10.5,1,11,Dropout
1,1,1,1,19,6,13.66666667,6,13.33333333,Graduate
0,1,1,1,22,7,14.84285714,8,15.05555556,Graduate
0,1,1,0,33,6,12,6,11.66666667,Graduate
0,1,1,0,20,5,12.2,5,12.2,Dropout
0,1,1,0,35,0,0,0,0,Dropout
1,1,1,0,24,6,12.16666667,10,13.3,Dropout
0,1,1,0,18,5,12,3,11.33333333,Enrolled
0,1,0,0,33,6,11,5,11,Graduate
0,1,0,1,22,7,13.08,7,13.08,Graduate
0,1,0,1,25,4,10.5,5,11.6,Graduate
0,1,1,0,20,6,10.66666667,5,11.2,Graduate
0,1,1,0,23,4,14,5,13.8,Enrolled
1,1,1,0,18,2,10,0,0,Enrolled
0,1,1,0,24,0,0,0,0,Dropout
0,0,0,0,21,6,14,6,13.5,Graduate
0,1,0,0,26,2,12,0,0,Dropout
0,1,0,0,39,3,12.66666667,0,0,Dropout
0,1,0,0,44,8,11.875,6,12.33333333,Graduate
0,1,1,0,19,5,14,3,13.25,Enrolled
0,1,0,0,18,6,13.66666667,6,13.33333333,Graduate
0,1,0,1,18,7,13.75,8,14.47777778,Graduate
0,1,0,0,19,5,14.2,5,13.8,Enrolled
1,0,0,0,19,4,11.96,0,0,Dropout
0,1,0,0,21,8,12.875,5,13.4,Dropout
